series_slug,series_name,episode_no,episode_slug,label,input_images,kept_images,dropped_images,dropout_rate,dominant_width,story_start_position,story_end_position,chronology_bin,url
eleceed,Eleceed,309,episode-000309-episode-309,"Episode 309 Nov 25, 2024 like 54,237 #309",253,126,127,0.5019762845849802,160,102,240,8,https://www.webtoons.com/en/action/eleceed/episode-309/viewer?title_no=1571&episode_no=309
eleceed,Eleceed,324,episode-000324-episode-324,"Episode 324 Mar 10, 2025 like 51,635 #324",262,126,136,0.5190839694656488,160,111,249,8,https://www.webtoons.com/en/action/eleceed/episode-324/viewer?title_no=1571&episode_no=324
eleceed,Eleceed,333,episode-000333-episode-333,"Episode 333 May 12, 2025 like 47,255 #333",275,127,148,0.5381818181818182,690,1,132,8,https://www.webtoons.com/en/action/eleceed/episode-333/viewer?title_no=1571&episode_no=333
eleceed,Eleceed,334,episode-000334-episode-334,"Episode 334 May 19, 2025 like 47,425 #334",286,139,147,0.513986013986014,690,1,144,8,https://www.webtoons.com/en/action/eleceed/episode-334/viewer?title_no=1571&episode_no=334
eleceed,Eleceed,337,episode-000337-episode-337,"Episode 337 Jun 9, 2025 like 44,723 #337",256,126,130,0.5078125,160,105,243,8,https://www.webtoons.com/en/action/eleceed/episode-337/viewer?title_no=1571&episode_no=337
eleceed,Eleceed,355,episode-000355-episode-355,"Episode 355 Oct 13, 2025 like 37,398 #355",260,126,134,0.5153846153846153,160,109,247,9,https://www.webtoons.com/en/action/eleceed/episode-355/viewer?title_no=1571&episode_no=355
eleceed,Eleceed,374,episode-000374-episode-374,"Episode 374 Feb 23, 2026 like 30,597 #374",271,126,145,0.5350553505535055,160,120,258,9,https://www.webtoons.com/en/action/eleceed/episode-374/viewer?title_no=1571&episode_no=374
lookism,Lookism,9,episode-000009-ep-9,"Ep. 9 Jun 10, 2017 like 176,176 #9",349,256,93,0.2664756446991404,160,71,337,0,https://www.webtoons.com/en/drama/lookism/ep-9/viewer?title_no=1049&episode_no=9
lookism,Lookism,11,episode-000011-ep-11,"Ep. 11 Jun 12, 2017 like 179,827 #11",379,256,123,0.3245382585751979,160,97,363,0,https://www.webtoons.com/en/drama/lookism/ep-11/viewer?title_no=1049&episode_no=11
lookism,Lookism,59,episode-000059-ep-59,"Ep. 59 Jul 30, 2017 like 166,356 #59",339,256,83,0.2448377581120944,160,63,329,0,https://www.webtoons.com/en/drama/lookism/ep-59/viewer?title_no=1049&episode_no=59
lookism,Lookism,112,episode-000112-ep-112-why-isnt-daniel-losing-weight,"Ep. 112: Why Isn't Daniel Losing Weight? Nov 22, 2017 like 144,428 #112",346,256,90,0.26011560693641617,160,70,336,1,https://www.webtoons.com/en/drama/lookism/ep-112-why-isnt-daniel-losing-weight/viewer?title_no=1049&episode_no=112
lookism,Lookism,119,episode-000119-ep-119-stalker-07,"Ep. 119: Stalker (07) Dec 3, 2017 like 142,177 #119",393,256,137,0.3486005089058524,160,117,383,1,https://www.webtoons.com/en/drama/lookism/ep-119-stalker-07/viewer?title_no=1049&episode_no=119
lookism,Lookism,204,episode-000204-ep-204-god-dog-06,"Ep. 204: God Dog (06) Nov 11, 2018 like 166,233 #204",409,256,153,0.3740831295843521,160,133,399,3,https://www.webtoons.com/en/drama/lookism/ep-204-god-dog-06/viewer?title_no=1049&episode_no=204
