series_slug,series_name,episode_no,episode_slug,source_key,dest_key,size
lookism,Lookism,496,episode-000496-ep-496-cheonliang-15,datasets/pages/source/webtoon_cleaned_dim_v2/lookism/episode-000496-ep-496-cheonliang-15/page-0411.jpg,datasets/pages/single/lookism_manwa/episode-000496-ep-496-cheonliang-15__page-0411.jpg,43766
omniscient-reader,Omniscient Reader,152,episode-000152-episode-151,datasets/pages/source/webtoon_cleaned_dim_v2/omniscient-reader/episode-000152-episode-151/page-0344.jpg,datasets/pages/single/omniscient-reader_manwa/episode-000152-episode-151__page-0344.jpg,129508
omniscient-reader,Omniscient Reader,77,episode-000077-episode-76,datasets/pages/source/webtoon_cleaned_dim_v2/omniscient-reader/episode-000077-episode-76/page-0440.jpg,datasets/pages/single/omniscient-reader_manwa/episode-000077-episode-76__page-0440.jpg,11198
omniscient-reader,Omniscient Reader,60,episode-000060-episode-59,datasets/pages/source/webtoon_cleaned_dim_v2/omniscient-reader/episode-000060-episode-59/page-0117.jpg,datasets/pages/single/omniscient-reader_manwa/episode-000060-episode-59__page-0117.jpg,89523
lookism,Lookism,496,episode-000496-ep-496-cheonliang-15,datasets/pages/source/webtoon_cleaned_dim_v2/lookism/episode-000496-ep-496-cheonliang-15/page-0410.jpg,datasets/pages/single/lookism_manwa/episode-000496-ep-496-cheonliang-15__page-0410.jpg,55132
eleceed,Eleceed,141,episode-000141-episode-141,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000141-episode-141/page-0072.jpg,datasets/pages/single/eleceed_manwa/episode-000141-episode-141__page-0072.jpg,102154
teenage-mercenary,Teenage Mercenary,167,episode-000167-episode-166,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000167-episode-166/page-0317.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000167-episode-166__page-0317.jpg,179248
eleceed,Eleceed,32,episode-000032-episode-32,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000032-episode-32/page-0416.jpg,datasets/pages/single/eleceed_manwa/episode-000032-episode-32__page-0416.jpg,77815
teenage-mercenary,Teenage Mercenary,262,episode-000262-episode-261,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000262-episode-261/page-0096.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000262-episode-261__page-0096.jpg,99811
teenage-mercenary,Teenage Mercenary,167,episode-000167-episode-166,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000167-episode-166/page-0316.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000167-episode-166__page-0316.jpg,71441
eleceed,Eleceed,32,episode-000032-episode-32,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000032-episode-32/page-0415.jpg,datasets/pages/single/eleceed_manwa/episode-000032-episode-32__page-0415.jpg,113424
lookism,Lookism,112,episode-000112-ep-112-why-isnt-daniel-losing-weight,datasets/pages/source/webtoon_cleaned_dim_v2/lookism/episode-000112-ep-112-why-isnt-daniel-losing-weight/page-0215.jpg,datasets/pages/single/lookism_manwa/episode-000112-ep-112-why-isnt-daniel-losing-weight__page-0215.jpg,48252
teenage-mercenary,Teenage Mercenary,167,episode-000167-episode-166,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000167-episode-166/page-0315.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000167-episode-166__page-0315.jpg,74153
eleceed,Eleceed,32,episode-000032-episode-32,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000032-episode-32/page-0414.jpg,datasets/pages/single/eleceed_manwa/episode-000032-episode-32__page-0414.jpg,132960
teenage-mercenary,Teenage Mercenary,167,episode-000167-episode-166,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000167-episode-166/page-0314.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000167-episode-166__page-0314.jpg,87563
teenage-mercenary,Teenage Mercenary,160,episode-000160-episode-159,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000160-episode-159/page-0022.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000160-episode-159__page-0022.jpg,137349
teenage-mercenary,Teenage Mercenary,262,episode-000262-episode-261,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000262-episode-261/page-0097.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000262-episode-261__page-0097.jpg,72392
eleceed,Eleceed,141,episode-000141-episode-141,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000141-episode-141/page-0073.jpg,datasets/pages/single/eleceed_manwa/episode-000141-episode-141__page-0073.jpg,55502
teenage-mercenary,Teenage Mercenary,167,episode-000167-episode-166,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000167-episode-166/page-0313.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000167-episode-166__page-0313.jpg,74831
eleceed,Eleceed,32,episode-000032-episode-32,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000032-episode-32/page-0413.jpg,datasets/pages/single/eleceed_manwa/episode-000032-episode-32__page-0413.jpg,91490
teenage-mercenary,Teenage Mercenary,167,episode-000167-episode-166,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000167-episode-166/page-0312.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000167-episode-166__page-0312.jpg,138122
the-breaker-eternal-force,The Breaker: Eternal Force,13,episode-000013-episode-13,datasets/pages/source/webtoon_cleaned_dim_v2/the-breaker-eternal-force/episode-000013-episode-13/page-0115.jpg,datasets/pages/single/the-breaker-eternal-force_manwa/episode-000013-episode-13__page-0115.jpg,47094
eleceed,Eleceed,32,episode-000032-episode-32,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000032-episode-32/page-0412.jpg,datasets/pages/single/eleceed_manwa/episode-000032-episode-32__page-0412.jpg,87509
teenage-mercenary,Teenage Mercenary,167,episode-000167-episode-166,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000167-episode-166/page-0311.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000167-episode-166__page-0311.jpg,64709
eleceed,Eleceed,309,episode-000309-episode-309,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000309-episode-309/page-0117.jpg,datasets/pages/single/eleceed_manwa/episode-000309-episode-309__page-0117.jpg,41049
teenage-mercenary,Teenage Mercenary,262,episode-000262-episode-261,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000262-episode-261/page-0098.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000262-episode-261__page-0098.jpg,103612
eleceed,Eleceed,32,episode-000032-episode-32,datasets/pages/source/webtoon_cleaned_dim_v2/eleceed/episode-000032-episode-32/page-0411.jpg,datasets/pages/single/eleceed_manwa/episode-000032-episode-32__page-0411.jpg,62600
teenage-mercenary,Teenage Mercenary,167,episode-000167-episode-166,datasets/pages/source/webtoon_cleaned_dim_v2/teenage-mercenary/episode-000167-episode-166/page-0310.jpg,datasets/pages/single/teenage-mercenary_manwa/episode-000167-episode-166__page-0310.jpg,11423
lookism,Lookism,112,episode-000112-ep-112-why-isnt-daniel-losing-weight,datasets/pages/source/webtoon_cleaned_dim_v2/lookism/episode-000112-ep-112-why-isnt-daniel-losing-weight/page-0214.jpg,datasets/pages/single/lookism_manwa/episode-000112-ep-112-why-isnt-daniel-losing-weight__page-0214.jpg,50474
