series_slug,series_name,episode_no,episode_slug,label,input_images,kept_images,dropped_images,dropout_rate,dominant_width,story_start_position,story_end_position,chronology_bin,url
eleceed,Eleceed,385,episode-000385-episode-385,"Episode 385 May 11, 2026 like 21,117 #385",300,152,148,0.49333333333333335,690,1,157,9,https://www.webtoons.com/en/action/eleceed/episode-385/viewer?title_no=1571&episode_no=385
lookism,Lookism,44,episode-000044-ep-44,"Ep. 44 Jul 15, 2017 like 148,865 #44",321,256,65,0.20249221183800623,160,43,309,0,https://www.webtoons.com/en/drama/lookism/ep-44/viewer?title_no=1049&episode_no=44
lookism,Lookism,53,episode-000053-ep-53,"Ep. 53 Jul 24, 2017 like 155,245 #53",315,256,59,0.1873015873015873,160,39,305,0,https://www.webtoons.com/en/drama/lookism/ep-53/viewer?title_no=1049&episode_no=53
lookism,Lookism,69,episode-000069-ep-69,"Ep. 69 Sep 3, 2017 like 162,312 #69",324,256,68,0.20987654320987653,160,48,314,1,https://www.webtoons.com/en/drama/lookism/ep-69/viewer?title_no=1049&episode_no=69
lookism,Lookism,158,episode-000158-ep-158-seonong-goes-to-seoul-13,"Ep. 158: Seonong Goes to Seoul (1/3) Jan 25, 2018 like 140,169 #158",337,256,81,0.2403560830860534,160,61,327,2,https://www.webtoons.com/en/drama/lookism/ep-158-seonong-goes-to-seoul-13/viewer?title_no=1049&episode_no=158
lookism,Lookism,210,episode-000210-ep-210-god-dog-12,"Ep. 210: God Dog (12) Dec 23, 2018 like 163,206 #210",380,256,124,0.3263157894736842,160,104,370,3,https://www.webtoons.com/en/drama/lookism/ep-210-god-dog-12/viewer?title_no=1049&episode_no=210
lookism,Lookism,272,episode-000272-ep-272-hostel-j-high-final,"Ep. 272: Hostel [J High Final] Feb 29, 2020 like 118,251 #272",426,256,170,0.39906103286384975,160,150,416,4,https://www.webtoons.com/en/drama/lookism/ep-272-hostel-j-high-final/viewer?title_no=1049&episode_no=272
lookism,Lookism,283,episode-000283-ep-283-hostel-epilogue,"Ep. 283: Hostel (Epilogue) May 16, 2020 like 124,060 #283",542,270,272,0.5018450184501845,700,1,275,4,https://www.webtoons.com/en/drama/lookism/ep-283-hostel-epilogue/viewer?title_no=1049&episode_no=283
lookism,Lookism,284,episode-000284-ep-284-vs-gun,"Ep. 284: VS Gun May 23, 2020 like 124,260 #284",544,272,272,0.5,700,1,277,4,https://www.webtoons.com/en/drama/lookism/ep-284-vs-gun/viewer?title_no=1049&episode_no=284
lookism,Lookism,291,episode-000291-ep-291-workers4-affiliates-5,"Ep. 291: Workers(4 Affiliates) (5) Jul 11, 2020 like 118,254 #291",531,259,272,0.512241054613936,700,1,264,4,https://www.webtoons.com/en/drama/lookism/ep-291-workers4-affiliates-5/viewer?title_no=1049&episode_no=291
